"","montant","municipalite","numero","date"
"1","13","Aalsmeer","358","16 maart 2020"
"2","3","Albrandswaard","613","16 maart 2020"
"3","2","Alkmaar","361","16 maart 2020"
"4","2","Almelo","141","16 maart 2020"
"5","1","Almere","34","16 maart 2020"
"6","3","Alphen aan den Rijn","484","16 maart 2020"
"7","6","Alphen-Chaam","1723","16 maart 2020"
"8","2","Altena","1959","16 maart 2020"
"9","12","Amersfoort","307","16 maart 2020"
"10","18","Amstelveen","362","16 maart 2020"
"11","4","Amsterdam","363","16 maart 2020"
"12","39","Apeldoorn","200","16 maart 2020"
"13","7","Arnhem","202","16 maart 2020"
"14","7","Asten","743","16 maart 2020"
"15","1","Barendrecht","489","16 maart 2020"
"16","3","Barneveld","203","16 maart 2020"
"17","3","Beek","888","16 maart 2020"
"18","3","Beekdaelen","1954","16 maart 2020"
"19","13","Berg en Dal","1945","16 maart 2020"
"20","10","Bergeijk","1724","16 maart 2020"
"21","1","Bergen (NH.)","373","16 maart 2020"
"22","1","Bergen op Zoom","748","16 maart 2020"
"23","4","Bernheze","1721","16 maart 2020"
"24","19","Best","753","16 maart 2020"
"25","4","Beuningen","209","16 maart 2020"
"26","5","Beverwijk","375","16 maart 2020"
"27","5","Bladel","1728","16 maart 2020"
"28","1","Blaricum","376","16 maart 2020"
"29","1","Bloemendaal","377","16 maart 2020"
"30","1","Bodegraven-Reeuwijk","1901","16 maart 2020"
"31","1","Boekel","755","16 maart 2020"
"32","14","Borne","147","16 maart 2020"
"33","3","Borsele","654","16 maart 2020"
"34","2","Boxmeer","756","16 maart 2020"
"35","1","Boxtel","757","16 maart 2020"
"36","3","Breda","758","16 maart 2020"
"37","86","Bronckhorst","1876","16 maart 2020"
"38","2","Buren","214","16 maart 2020"
"39","4","Castricum","383","16 maart 2020"
"40","5","Coevorden","109","16 maart 2020"
"41","11","Cranendonck","1706","16 maart 2020"
"42","2","Cuijk","1684","16 maart 2020"
"43","2","Culemborg","216","16 maart 2020"
"44","2","Dalfsen","148","16 maart 2020"
"45","1","De Bilt","310","16 maart 2020"
"46","13","De Fryske Marren","1940","16 maart 2020"
"47","3","De Ronde Venen","736","16 maart 2020"
"48","2","De Wolden","1690","16 maart 2020"
"49","1","Delft","503","16 maart 2020"
"50","2","Den Helder","400","16 maart 2020"
"51","1","Deurne","762","16 maart 2020"
"52","5","Deventer","150","16 maart 2020"
"53","2","Diemen","384","16 maart 2020"
"54","2","Dinkelland","1774","16 maart 2020"
"55","5","Doesburg","221","16 maart 2020"
"56","1","Dongen","766","16 maart 2020"
"57","5","Dordrecht","505","16 maart 2020"
"58","1","Drimmelen","1719","16 maart 2020"
"59","7","Dronten","303","16 maart 2020"
"60","7","Druten","225","16 maart 2020"
"61","5","Duiven","226","16 maart 2020"
"62","1","Ede","228","16 maart 2020"
"63","2","Eersel","770","16 maart 2020"
"64","2","Eijsden-Margraten","1903","16 maart 2020"
"65","4","Eindhoven","772","16 maart 2020"
"66","21","Elburg","230","16 maart 2020"
"67","1","Emmen","114","16 maart 2020"
"68","1","Enkhuizen","388","16 maart 2020"
"69","1","Enschede","153","16 maart 2020"
"70","3","Epe","232","16 maart 2020"
"71","2","Ermelo","233","16 maart 2020"
"72","8","Etten-Leur","777","16 maart 2020"
"73","10","Geertruidenberg","779","16 maart 2020"
"74","3","Geldrop-Mierlo","1771","16 maart 2020"
"75","3","Gemert-Bakel","1652","16 maart 2020"
"76","20","Gennep","907","16 maart 2020"
"77","1","Gilze en Rijen","784","16 maart 2020"
"78","1","Goeree-Overflakkee","1924","16 maart 2020"
"79","4","Goes","664","16 maart 2020"
"80","2","Goirle","785","16 maart 2020"
"81","9","Gooise Meren","1942","16 maart 2020"
"82","4","Gouda","513","16 maart 2020"
"83","4","Groningen","14","16 maart 2020"
"84","7","Gulpen-Wittem","1729","16 maart 2020"
"85","2","Haaksbergen","158","16 maart 2020"
"86","1","Haaren","788","16 maart 2020"
"87","7","Haarlem","392","16 maart 2020"
"88","6","Haarlemmermeer","394","16 maart 2020"
"89","2","Halderberge","1655","16 maart 2020"
"90","2","Harderwijk","243","16 maart 2020"
"91","4","Hardinxveld-Giessendam","523","16 maart 2020"
"92","5","Harlingen","72","16 maart 2020"
"93","1","Heemskerk","396","16 maart 2020"
"94","2","Heemstede","397","16 maart 2020"
"95","5","Heerde","246","16 maart 2020"
"96","2","Heerhugowaard","398","16 maart 2020"
"97","1","Heerlen","917","16 maart 2020"
"98","6","Heeze-Leende","1658","16 maart 2020"
"99","2","Heiloo","399","16 maart 2020"
"100","3","Hellendoorn","163","16 maart 2020"
"101","2","Hellevoetsluis","530","16 maart 2020"
"102","1","Helmond","794","16 maart 2020"
"103","17","Hengelo","164","16 maart 2020"
"104","3","Heumen","252","16 maart 2020"
"105","2","Heusden","797","16 maart 2020"
"106","4","Hilvarenbeek","798","16 maart 2020"
"107","4","Hoeksche Waard","1963","16 maart 2020"
"108","4","Hof van Twente","1735","16 maart 2020"
"109","1","Hoogeveen","118","16 maart 2020"
"110","2","Hoorn","405","16 maart 2020"
"111","1","Horst aan de Maas","1507","16 maart 2020"
"112","5","Houten","321","16 maart 2020"
"113","13","Huizen","406","16 maart 2020"
"114","1","IJsselstein","353","16 maart 2020"
"115","4","Katwijk","537","16 maart 2020"
"116","1","Kerkrade","928","16 maart 2020"
"117","2","Koggenland","1598","16 maart 2020"
"118","1","Krimpen aan den IJssel","542","16 maart 2020"
"119","1","Krimpenerwaard","1931","16 maart 2020"
"120","4","Laarbeek","1659","16 maart 2020"
"121","1","Landerd","1685","16 maart 2020"
"122","10","Landgraaf","882","16 maart 2020"
"123","4","Landsmeer","415","16 maart 2020"
"124","3","Langedijk","416","16 maart 2020"
"125","4","Lansingerland","1621","16 maart 2020"
"126","5","Leeuwarden","80","16 maart 2020"
"127","2","Leiden","546","16 maart 2020"
"128","8","Leiderdorp","547","16 maart 2020"
"129","1","Leidschendam-Voorburg","1916","16 maart 2020"
"130","4","Lelystad","995","16 maart 2020"
"131","8","Leudal","1640","16 maart 2020"
"132","7","Leusden","327","16 maart 2020"
"133","1","Lingewaard","1705","16 maart 2020"
"134","3","Loon op Zand","809","16 maart 2020"
"135","7","Lopik","331","16 maart 2020"
"136","1","Maasgouw","1641","16 maart 2020"
"137","2","Maassluis","556","16 maart 2020"
"138","1","Maastricht","935","16 maart 2020"
"139","24","Meerssen","938","16 maart 2020"
"140","1","Meierijstad","1948","16 maart 2020"
"141","42","Middelburg","687","16 maart 2020"
"142","1","Midden-Groningen","1952","16 maart 2020"
"143","1","Mill en Sint Hubert","815","16 maart 2020"
"144","1","Moerdijk","1709","16 maart 2020"
"145","1","Molenlanden","1978","16 maart 2020"
"146","2","Neder-Betuwe","1740","16 maart 2020"
"147","4","Nederweert","946","16 maart 2020"
"148","3","Nieuwegein","356","16 maart 2020"
"149","1","Nieuwkoop","569","16 maart 2020"
"150","1","Nijkerk","267","16 maart 2020"
"151","1","Nijmegen","268","16 maart 2020"
"152","17","Nissewaard","1930","16 maart 2020"
"153","1","Noordenveld","1699","16 maart 2020"
"154","1","Noordoostpolder","171","16 maart 2020"
"155","2","Noordwijk","575","16 maart 2020"
"156","2","Nuenen, Gerwen en Nederwetten","820","16 maart 2020"
"157","1","Nunspeet","302","16 maart 2020"
"158","2","Oegstgeest","579","16 maart 2020"
"159","4","Oirschot","823","16 maart 2020"
"160","1","Oisterwijk","824","16 maart 2020"
"161","9","Oldebroek","269","16 maart 2020"
"162","2","Oldenzaal","173","16 maart 2020"
"163","1","Ommen","175","16 maart 2020"
"164","1","Oosterhout","826","16 maart 2020"
"165","6","Opsterland","86","16 maart 2020"
"166","2","Oss","828","16 maart 2020"
"167","11","Oude IJsselstreek","1509","16 maart 2020"
"168","1","Oudewater","589","16 maart 2020"
"169","1","Overbetuwe","1734","16 maart 2020"
"170","8","Peel en Maas","1894","16 maart 2020"
"171","19","Pekela","765","16 maart 2020"
"172","1","Pijnacker-Nootdorp","1926","16 maart 2020"
"173","8","Purmerend","439","16 maart 2020"
"174","2","Putten","273","16 maart 2020"
"175","2","Raalte","177","16 maart 2020"
"176","2","Reimerswaal","703","16 maart 2020"
"177","2","Renkum","274","16 maart 2020"
"178","8","Rheden","275","16 maart 2020"
"179","1","Ridderkerk","597","16 maart 2020"
"180","1","Rijswijk","603","16 maart 2020"
"181","1","Roermond","957","16 maart 2020"
"182","2","Roosendaal","1674","16 maart 2020"
"183","6","Rotterdam","599","16 maart 2020"
"184","30","Rozendaal","277","16 maart 2020"
"185","1","Rucphen","840","16 maart 2020"
"186","1","Schagen","441","16 maart 2020"
"187","4","Schiedam","606","16 maart 2020"
"188","1","Schouwen-Duiveland","1676","16 maart 2020"
"189","2","'s-Gravenhage","518","16 maart 2020"
"190","14","'s-Hertogenbosch","796","16 maart 2020"
"191","20","Simpelveld","965","16 maart 2020"
"192","3","Sint Anthonis","1702","16 maart 2020"
"193","3","Sint-Michielsgestel","845","16 maart 2020"
"194","8","Sittard-Geleen","1883","16 maart 2020"
"195","38","Sluis","1714","16 maart 2020"
"196","2","Smallingerland","90","16 maart 2020"
"197","3","Soest","342","16 maart 2020"
"198","10","Someren","847","16 maart 2020"
"199","1","Son en Breugel","848","16 maart 2020"
"200","4","Staphorst","180","16 maart 2020"
"201","1","Stede Broec","532","16 maart 2020"
"202","1","Steenbergen","851","16 maart 2020"
"203","2","Stein","971","16 maart 2020"
"204","3","Stichtse Vecht","1904","16 maart 2020"
"205","7","Súdwest-Fryslân","1900","16 maart 2020"
"206","1","Terneuzen","715","16 maart 2020"
"207","1","Teylingen","1525","16 maart 2020"
"208","1","Tholen","716","16 maart 2020"
"209","1","Tiel","281","16 maart 2020"
"210","4","Tilburg","855","16 maart 2020"
"211","84","Tubbergen","183","16 maart 2020"
"212","1","Tytsjerksteradiel","737","16 maart 2020"
"213","1","Uden","856","16 maart 2020"
"214","43","Utrecht","344","16 maart 2020"
"215","48","Utrechtse Heuvelrug","1581","16 maart 2020"
"216","3","Valkenburg aan de Geul","994","16 maart 2020"
"217","1","Veenendaal","345","16 maart 2020"
"218","1","Veere","717","16 maart 2020"
"219","1","Veldhoven","861","16 maart 2020"
"220","1","Velsen","453","16 maart 2020"
"221","4","Venlo","983","16 maart 2020"
"222","6","Vijfheerenlanden","1961","16 maart 2020"
"223","3","Vlaardingen","622","16 maart 2020"
"224","1","Vlissingen","718","16 maart 2020"
"225","3","Voorst","285","16 maart 2020"
"226","1","Vught","865","16 maart 2020"
"227","3","Waalre","866","16 maart 2020"
"228","1","Waalwijk","867","16 maart 2020"
"229","10","Waddinxveen","627","16 maart 2020"
"230","1","Wassenaar","629","16 maart 2020"
"231","3","Waterland","852","16 maart 2020"
"232","3","West Betuwe","1960","16 maart 2020"
"233","3","West Maas en Waal","668","16 maart 2020"
"234","3","Westerkwartier","1969","16 maart 2020"
"235","1","Westland","1783","16 maart 2020"
"236","1","Westvoorne","614","16 maart 2020"
"237","3","Wijchen","296","16 maart 2020"
"238","5","Wijk bij Duurstede","352","16 maart 2020"
"239","3","Woerden","632","16 maart 2020"
"240","2","Woudenberg","351","16 maart 2020"
"241","1","Zaanstad","479","16 maart 2020"
"242","2","Zaltbommel","297","16 maart 2020"
"243","1","Zandvoort","473","16 maart 2020"
"244","1","Zeewolde","50","16 maart 2020"
"245","2","Zeist","355","16 maart 2020"
"246","8","Zundert","879","16 maart 2020"
"247","3","Zwartewaterland","1896","16 maart 2020"
"248","2","Zwijndrecht","642","16 maart 2020"
"249","3","Zwolle","193","16 maart 2020"
