"","departement","NUTS_CODE"
"1","Auvergne-Rhône-Alpes","FRK"
"2","Bourgogne-Franche-Comté","FRC"
"3","Bretagne","FRH"
"4","Centre-Val de Loire","FRB"
"5","Corse","FRM"
"6","Grand Est","FRF"
"7","Hauts-de-France","FRE"
"8","Ile-de-France","FR1"
"9","Normandie","FRD"
"10","Nouvelle-Aquitaine","FRI"
"11","Occitanie","FRJ"
"12","Pays de la Loire","FRG"
"13","Provence-Alpes-Côte d’Azur","FRL"
"14","Guadeloupe","FRY"
"15","Saint-Barthélémy","FRY"
"16","Saint-Martin","FRY"
"17","Guyane","FRY"
"18","Martinique","FRY"
"19","Mayotte","FRY"
"20","La Réunion","FRY"
