"","NUTS_CODE","denominazione_regione"
"1","ITC","Piemonte"
"2","ITC","Valle d'Aosta"
"3","ITC","Liguria"
"4","ITC","Lombardia"
"5","ITH","P.A. Bolzano"
"6","ITH","P.A. Trento"
"7","ITH","Veneto"
"8","ITH","Friuli Venezia Giulia"
"9","ITH","Emilia Romagna"
"10","ITI","Toscana"
"11","ITI","Umbria"
"12","ITI","Marche"
"13","ITI","Lazio"
"14","ITF","Abruzzo"
"15","ITF","Molise"
"16","ITF","Campania"
"17","ITF","Puglia"
"18","ITF","Basilicata"
"19","ITF","Calabria"
"20","ITG","Sicilia"
"21","ITG","Sardegna"
