"","numero","municipalite","montant","habitants","montantparhabitant","Date"
"1","518","'s-Gravenhage","81","537833","15.1","25 maart 2020"
"2","796","'s-Hertogenbosch","75","154205","48.6","25 maart 2020"
"3","1680","Aa en Hunze","1","25386","3.9","25 maart 2020"
"4","358","Aalsmeer","10","31728","31.5","25 maart 2020"
"5","197","Aalten","2","27011","7.4","25 maart 2020"
"6","59","Achtkarspelen","1","27852","3.6","25 maart 2020"
"7","482","Alblasserdam","5","20069","24.9","25 maart 2020"
"8","613","Albrandswaard","18","25271","71.2","25 maart 2020"
"9","361","Alkmaar","24","108558","22.1","25 maart 2020"
"10","141","Almelo","10","72849","13.7","25 maart 2020"
"11","34","Almere","28","207904","13.5","25 maart 2020"
"12","484","Alphen aan den Rijn","22","110986","19.8","25 maart 2020"
"13","1723","Alphen-Chaam","16","10149","157.7","25 maart 2020"
"14","1959","Altena","35","55386","63.2","25 maart 2020"
"15","60","Ameland","0","3673","0","25 maart 2020"
"16","307","Amersfoort","47","156286","30.1","25 maart 2020"
"17","362","Amstelveen","35","90838","38.5","25 maart 2020"
"18","363","Amsterdam","297","862965","34.4","25 maart 2020"
"19","200","Apeldoorn","34","162445","20.9","25 maart 2020"
"20","3","Appingedam","0","11721","0","25 maart 2020"
"21","202","Arnhem","25","159265","15.7","25 maart 2020"
"22","106","Assen","5","67963","7.4","25 maart 2020"
"23","743","Asten","6","16710","35.9","25 maart 2020"
"24","744","Baarle-Nassau","2","6847","29.2","25 maart 2020"
"25","308","Baarn","4","24767","16.2","25 maart 2020"
"26","489","Barendrecht","16","48673","32.9","25 maart 2020"
"27","203","Barneveld","13","57971","22.4","25 maart 2020"
"28","888","Beek","13","15929","81.6","25 maart 2020"
"29","1954","Beekdaelen","30","35727","84","25 maart 2020"
"30","370","Beemster","2","9748","20.5","25 maart 2020"
"31","889","Beesel","7","13519","51.8","25 maart 2020"
"32","1945","Berg en Dal","37","34798","106.3","25 maart 2020"
"33","1724","Bergeijk","10","18491","54.1","25 maart 2020"
"34","893","Bergen (L)","1","13140","7.6","25 maart 2020"
"35","373","Bergen (NH)","12","29974","40","25 maart 2020"
"36","748","Bergen op Zoom","12","66811","18","25 maart 2020"
"37","1859","Berkelland","2","43904","4.6","25 maart 2020"
"38","1721","Bernheze","69","30806","224","25 maart 2020"
"39","753","Best","19","29821","63.7","25 maart 2020"
"40","209","Beuningen","15","25882","58","25 maart 2020"
"41","375","Beverwijk","11","41176","26.7","25 maart 2020"
"42","1728","Bladel","15","20175","74.3","25 maart 2020"
"43","376","Blaricum","5","11202","44.6","25 maart 2020"
"44","377","Bloemendaal","13","23410","55.5","25 maart 2020"
"45","1901","Bodegraven-Reeuwijk","5","34462","14.5","25 maart 2020"
"46","755","Boekel","42","10588","396.7","25 maart 2020"
"47","1681","Borger-Odoorn","0","25372","0","25 maart 2020"
"48","147","Borne","11","23210","47.4","25 maart 2020"
"49","654","Borsele","5","22800","21.9","25 maart 2020"
"50","756","Boxmeer","9","29065","31","25 maart 2020"
"51","757","Boxtel","15","30747","48.8","25 maart 2020"
"52","758","Breda","181","183873","98.4","25 maart 2020"
"53","501","Brielle","1","17182","5.8","25 maart 2020"
"54","1876","Bronckhorst","7","36212","19.3","25 maart 2020"
"55","213","Brummen","4","20698","19.3","25 maart 2020"
"56","899","Brunssum","20","28103","71.2","25 maart 2020"
"57","312","Bunnik","8","15192","52.7","25 maart 2020"
"58","313","Bunschoten","3","21576","13.9","25 maart 2020"
"59","214","Buren","7","26568","26.3","25 maart 2020"
"60","502","Capelle aan den IJssel","23","66818","34.4","25 maart 2020"
"61","383","Castricum","10","35772","28","25 maart 2020"
"62","109","Coevorden","15","35483","42.3","25 maart 2020"
"63","1706","Cranendonck","25","20440","122.3","25 maart 2020"
"64","1684","Cuijk","8","24931","32.1","25 maart 2020"
"65","216","Culemborg","8","28555","28","25 maart 2020"
"66","148","Dalfsen","12","28499","42.1","25 maart 2020"
"67","1891","Dantumadiel","0","18923","0","25 maart 2020"
"68","310","De Bilt","32","42824","74.7","25 maart 2020"
"69","1940","De Fryske Marren","9","51430","17.5","25 maart 2020"
"70","736","De Ronde Venen","9","44059","20.4","25 maart 2020"
"71","1690","De Wolden","3","24110","12.4","25 maart 2020"
"72","503","Delft","21","103163","20.4","25 maart 2020"
"73","10","Delfzijl","1","24716","4","25 maart 2020"
"74","400","Den Helder","5","55604","9","25 maart 2020"
"75","762","Deurne","30","32362","92.7","25 maart 2020"
"76","150","Deventer","26","99957","26","25 maart 2020"
"77","384","Diemen","6","29196","20.6","25 maart 2020"
"78","1774","Dinkelland","20","26350","75.9","25 maart 2020"
"79","221","Doesburg","5","11148","44.9","25 maart 2020"
"80","222","Doetinchem","10","57555","17.4","25 maart 2020"
"81","766","Dongen","6","26051","23","25 maart 2020"
"82","505","Dordrecht","26","118654","21.9","25 maart 2020"
"83","498","Drechterland","3","19597","15.3","25 maart 2020"
"84","1719","Drimmelen","20","27150","73.7","25 maart 2020"
"85","303","Dronten","11","40815","27","25 maart 2020"
"86","225","Druten","7","18797","37.2","25 maart 2020"
"87","226","Duiven","2","25332","7.9","25 maart 2020"
"88","1711","Echt-Susteren","20","31638","63.2","25 maart 2020"
"89","385","Edam-Volendam","9","36099","24.9","25 maart 2020"
"90","228","Ede","26","115710","22.5","25 maart 2020"
"91","317","Eemnes","1","9113","11","25 maart 2020"
"92","770","Eersel","13","19110","68","25 maart 2020"
"93","1903","Eijsden-Margraten","20","25658","77.9","25 maart 2020"
"94","772","Eindhoven","80","231642","34.5","25 maart 2020"
"95","230","Elburg","5","23086","21.7","25 maart 2020"
"96","114","Emmen","8","107113","7.5","25 maart 2020"
"97","388","Enkhuizen","13","18507","70.2","25 maart 2020"
"98","153","Enschede","26","158986","16.4","25 maart 2020"
"99","232","Epe","15","33145","45.3","25 maart 2020"
"100","233","Ermelo","17","26858","63.3","25 maart 2020"
"101","777","Etten-Leur","31","43774","70.8","25 maart 2020"
"102","779","Geertruidenberg","11","21515","51.1","25 maart 2020"
"103","1771","Geldrop-Mierlo","15","39595","37.9","25 maart 2020"
"104","1652","Gemert-Bakel","68","30447","223.3","25 maart 2020"
"105","907","Gennep","7","17071","41","25 maart 2020"
"106","784","Gilze en Rijen","18","26431","68.1","25 maart 2020"
"107","1924","Goeree-Overflakkee","44","49611","88.7","25 maart 2020"
"108","664","Goes","4","37653","10.6","25 maart 2020"
"109","785","Goirle","18","23793","75.7","25 maart 2020"
"110","1942","Gooise Meren","18","57715","31.2","25 maart 2020"
"111","512","Gorinchem","8","36682","21.8","25 maart 2020"
"112","513","Gouda","18","73181","24.6","25 maart 2020"
"113","786","Grave","11","12483","88.1","25 maart 2020"
"114","14","Groningen","58","231299","25.1","25 maart 2020"
"115","1729","Gulpen-Wittem","5","14246","35.1","25 maart 2020"
"116","158","Haaksbergen","3","24277","12.4","25 maart 2020"
"117","788","Haaren","12","14195","84.5","25 maart 2020"
"118","392","Haarlem","46","161265","28.5","25 maart 2020"
"119","394","Haarlemmermeer","23","154235","14.9","25 maart 2020"
"120","1655","Halderberge","8","30194","26.5","25 maart 2020"
"121","160","Hardenberg","7","60574","11.6","25 maart 2020"
"122","243","Harderwijk","13","47581","27.3","25 maart 2020"
"123","523","Hardinxveld-Giessendam","6","18051","33.2","25 maart 2020"
"124","72","Harlingen","3","15758","19","25 maart 2020"
"125","244","Hattem","3","12173","24.6","25 maart 2020"
"126","396","Heemskerk","9","39164","23","25 maart 2020"
"127","397","Heemstede","17","27286","62.3","25 maart 2020"
"128","246","Heerde","19","18546","102.4","25 maart 2020"
"129","74","Heerenveen","3","50257","6","25 maart 2020"
"130","398","Heerhugowaard","16","56742","28.2","25 maart 2020"
"131","917","Heerlen","53","86832","61","25 maart 2020"
"132","1658","Heeze-Leende","10","15964","62.6","25 maart 2020"
"133","399","Heiloo","9","23464","38.4","25 maart 2020"
"134","163","Hellendoorn","7","35808","19.5","25 maart 2020"
"135","530","Hellevoetsluis","5","40049","12.5","25 maart 2020"
"136","794","Helmond","63","91524","68.8","25 maart 2020"
"137","531","Hendrik-Ido-Ambacht","3","30966","9.7","25 maart 2020"
"138","164","Hengelo (O)","17","80683","21.1","25 maart 2020"
"139","1966","Het Hogeland","4","47888","8.4","25 maart 2020"
"140","252","Heumen","12","16486","72.8","25 maart 2020"
"141","797","Heusden","20","44135","45.3","25 maart 2020"
"142","534","Hillegom","3","21966","13.7","25 maart 2020"
"143","798","Hilvarenbeek","10","15334","65.2","25 maart 2020"
"144","402","Hilversum","16","90238","17.7","25 maart 2020"
"145","1963","Hoeksche Waard","36","86656","41.5","25 maart 2020"
"146","1735","Hof van Twente","6","34940","17.2","25 maart 2020"
"147","1911","Hollands Kroon","10","47815","20.9","25 maart 2020"
"148","118","Hoogeveen","7","55662","12.6","25 maart 2020"
"149","405","Hoorn","14","73004","19.2","25 maart 2020"
"150","1507","Horst aan de Maas","18","42291","42.6","25 maart 2020"
"151","321","Houten","37","49911","74.1","25 maart 2020"
"152","406","Huizen","7","41273","17","25 maart 2020"
"153","677","Hulst","1","27524","3.6","25 maart 2020"
"154","353","IJsselstein","18","34160","52.7","25 maart 2020"
"155","1884","Kaag en Braassem","5","26866","18.6","25 maart 2020"
"156","166","Kampen","30","53779","55.8","25 maart 2020"
"157","678","Kapelle","2","12785","15.6","25 maart 2020"
"158","537","Katwijk","7","65302","10.7","25 maart 2020"
"159","928","Kerkrade","21","45642","46","25 maart 2020"
"160","1598","Koggenland","5","22738","22","25 maart 2020"
"161","542","Krimpen aan den IJssel","6","29376","20.4","25 maart 2020"
"162","1931","Krimpenerwaard","16","56048","28.5","25 maart 2020"
"163","1659","Laarbeek","19","22333","85.1","25 maart 2020"
"164","1685","Landerd","25","15529","161","25 maart 2020"
"165","882","Landgraaf","21","37591","55.9","25 maart 2020"
"166","415","Landsmeer","6","11488","52.2","25 maart 2020"
"167","416","Langedijk","12","27992","42.9","25 maart 2020"
"168","1621","Lansingerland","25","61601","40.6","25 maart 2020"
"169","417","Laren","4","11195","35.7","25 maart 2020"
"170","80","Leeuwarden","12","123107","9.7","25 maart 2020"
"171","546","Leiden","21","124899","16.8","25 maart 2020"
"172","547","Leiderdorp","3","27109","11.1","25 maart 2020"
"173","1916","Leidschendam-Voorburg","14","75425","18.6","25 maart 2020"
"174","995","Lelystad","26","77893","33.4","25 maart 2020"
"175","1640","Leudal","29","35681","81.3","25 maart 2020"
"176","327","Leusden","13","30030","43.3","25 maart 2020"
"177","1705","Lingewaard","14","46475","30.1","25 maart 2020"
"178","553","Lisse","2","22800","8.8","25 maart 2020"
"179","262","Lochem","6","33590","17.9","25 maart 2020"
"180","809","Loon op Zand","20","23327","85.7","25 maart 2020"
"181","331","Lopik","11","14473","76","25 maart 2020"
"182","24","Loppersum","0","9614","0","25 maart 2020"
"183","168","Losser","1","22622","4.4","25 maart 2020"
"184","263","Maasdriel","3","24693","12.1","25 maart 2020"
"185","1641","Maasgouw","10","23716","42.2","25 maart 2020"
"186","556","Maassluis","7","32768","21.4","25 maart 2020"
"187","935","Maastricht","112","121565","92.1","25 maart 2020"
"188","420","Medemblik","4","44809","8.9","25 maart 2020"
"189","938","Meerssen","8","18923","42.3","25 maart 2020"
"190","1948","Meierijstad","149","80815","184.4","25 maart 2020"
"191","119","Meppel","3","33564","8.9","25 maart 2020"
"192","687","Middelburg","7","48544","14.4","25 maart 2020"
"193","1842","Midden-Delfland","2","19391","10.3","25 maart 2020"
"194","1731","Midden-Drenthe","1","33178","3","25 maart 2020"
"195","1952","Midden-Groningen","2","60899","3.3","25 maart 2020"
"196","815","Mill en Sint Hubert","5","10891","45.9","25 maart 2020"
"197","1709","Moerdijk","5","36961","13.5","25 maart 2020"
"198","1978","Molenlanden","16","43858","36.5","25 maart 2020"
"199","1955","Montferland","3","36026","8.3","25 maart 2020"
"200","335","Montfoort","5","13996","35.7","25 maart 2020"
"201","944","Mook en Middelaar","5","7806","64.1","25 maart 2020"
"202","1740","Neder-Betuwe","11","24034","45.8","25 maart 2020"
"203","946","Nederweert","14","17001","82.3","25 maart 2020"
"204","356","Nieuwegein","12","63036","19","25 maart 2020"
"205","569","Nieuwkoop","6","28628","21","25 maart 2020"
"206","267","Nijkerk","8","42943","18.6","25 maart 2020"
"207","268","Nijmegen","108","176731","61.1","25 maart 2020"
"208","1930","Nissewaard","19","84797","22.4","25 maart 2020"
"209","1970","Noardeast-Fryslân","3","45181","6.6","25 maart 2020"
"210","1695","Noord-Beveland","2","7308","27.4","25 maart 2020"
"211","1699","Noordenveld","1","31290","3.2","25 maart 2020"
"212","171","Noordoostpolder","5","46849","10.7","25 maart 2020"
"213","575","Noordwijk","7","42859","16.3","25 maart 2020"
"214","820","Nuenen, Gerwen en Nederwetten","8","23186","34.5","25 maart 2020"
"215","302","Nunspeet","29","27481","105.5","25 maart 2020"
"216","579","Oegstgeest","9","24426","36.8","25 maart 2020"
"217","823","Oirschot","6","18623","32.2","25 maart 2020"
"218","824","Oisterwijk","18","26140","68.9","25 maart 2020"
"219","1895","Oldambt","0","38129","0","25 maart 2020"
"220","269","Oldebroek","12","23598","50.9","25 maart 2020"
"221","173","Oldenzaal","13","31840","40.8","25 maart 2020"
"222","1773","Olst-Wijhe","6","18071","33.2","25 maart 2020"
"223","175","Ommen","7","17813","39.3","25 maart 2020"
"224","1586","Oost Gelre","6","29704","20.2","25 maart 2020"
"225","826","Oosterhout","26","55616","46.7","25 maart 2020"
"226","85","Ooststellingwerf","1","25497","3.9","25 maart 2020"
"227","431","Oostzaan","6","9757","61.5","25 maart 2020"
"228","432","Opmeer","0","11779","0","25 maart 2020"
"229","86","Opsterland","4","29723","13.5","25 maart 2020"
"230","828","Oss","81","91451","88.6","25 maart 2020"
"231","1509","Oude IJsselstreek","4","39473","10.1","25 maart 2020"
"232","437","Ouder-Amstel","7","13916","50.3","25 maart 2020"
"233","589","Oudewater","10","10201","98","25 maart 2020"
"234","1734","Overbetuwe","38","47543","79.9","25 maart 2020"
"235","590","Papendrecht","6","32290","18.6","25 maart 2020"
"236","1894","Peel en Maas","88","43311","203.2","25 maart 2020"
"237","765","Pekela","2","12214","16.4","25 maart 2020"
"238","1926","Pijnacker-Nootdorp","16","54331","29.4","25 maart 2020"
"239","439","Purmerend","32","80117","39.9","25 maart 2020"
"240","273","Putten","5","24198","20.7","25 maart 2020"
"241","177","Raalte","10","37511","26.7","25 maart 2020"
"242","703","Reimerswaal","7","22678","30.9","25 maart 2020"
"243","274","Renkum","12","31302","38.3","25 maart 2020"
"244","339","Renswoude","0","5259","0","25 maart 2020"
"245","1667","Reusel-De Mierden","1","13060","7.7","25 maart 2020"
"246","275","Rheden","18","43640","41.2","25 maart 2020"
"247","340","Rhenen","1","20004","5","25 maart 2020"
"248","597","Ridderkerk","9","46241","19.5","25 maart 2020"
"249","1742","Rijssen-Holten","9","38300","23.5","25 maart 2020"
"250","603","Rijswijk","10","53467","18.7","25 maart 2020"
"251","1669","Roerdalen","10","20615","48.5","25 maart 2020"
"252","957","Roermond","28","58209","48.1","25 maart 2020"
"253","1674","Roosendaal","20","77032","26","25 maart 2020"
"254","599","Rotterdam","186","644618","28.9","25 maart 2020"
"255","277","Rozendaal","2","1654","120.9","25 maart 2020"
"256","840","Rucphen","6","22572","26.6","25 maart 2020"
"257","441","Schagen","11","46553","23.6","25 maart 2020"
"258","279","Scherpenzeel","2","9873","20.3","25 maart 2020"
"259","606","Schiedam","14","77999","17.9","25 maart 2020"
"260","88","Schiermonnikoog","0","936","0","25 maart 2020"
"261","1676","Schouwen-Duiveland","6","33779","17.8","25 maart 2020"
"262","965","Simpelveld","8","10516","76.1","25 maart 2020"
"263","1702","Sint Anthonis","13","11606","112","25 maart 2020"
"264","845","Sint-Michielsgestel","18","28991","62.1","25 maart 2020"
"265","1883","Sittard-Geleen","86","92661","92.8","25 maart 2020"
"266","610","Sliedrecht","5","25026","20","25 maart 2020"
"267","1714","Sluis","5","23386","21.4","25 maart 2020"
"268","90","Smallingerland","4","55938","7.2","25 maart 2020"
"269","342","Soest","21","46194","45.5","25 maart 2020"
"270","847","Someren","10","19322","51.8","25 maart 2020"
"271","848","Son en Breugel","15","16904","88.7","25 maart 2020"
"272","37","Stadskanaal","0","31789","0","25 maart 2020"
"273","180","Staphorst","4","17003","23.5","25 maart 2020"
"274","532","Stede Broec","13","21706","59.9","25 maart 2020"
"275","851","Steenbergen","11","25054","43.9","25 maart 2020"
"276","1708","Steenwijkerland","6","43940","13.7","25 maart 2020"
"277","971","Stein","24","24961","96.1","25 maart 2020"
"278","1904","Stichtse Vecht","22","64336","34.2","25 maart 2020"
"279","1900","Súdwest-Fryslân","8","89710","8.9","25 maart 2020"
"280","715","Terneuzen","10","54589","18.3","25 maart 2020"
"281","93","Terschelling","0","4890","0","25 maart 2020"
"282","448","Texel","3","13547","22.1","25 maart 2020"
"283","1525","Teylingen","8","37061","21.6","25 maart 2020"
"284","716","Tholen","13","25780","50.4","25 maart 2020"
"285","281","Tiel","14","41978","33.4","25 maart 2020"
"286","855","Tilburg","224","217259","103.1","25 maart 2020"
"287","183","Tubbergen","4","21276","18.8","25 maart 2020"
"288","1700","Twenterand","3","33792","8.9","25 maart 2020"
"289","1730","Tynaarlo","13","33698","38.6","25 maart 2020"
"290","737","Tytsjerksteradiel","2","31780","6.3","25 maart 2020"
"291","856","Uden","94","41782","225","25 maart 2020"
"292","450","Uitgeest","4","13528","29.6","25 maart 2020"
"293","451","Uithoorn","5","29424","17","25 maart 2020"
"294","184","Urk","7","20776","33.7","25 maart 2020"
"295","344","Utrecht","191","352866","54.1","25 maart 2020"
"296","1581","Utrechtse Heuvelrug","15","49515","30.3","25 maart 2020"
"297","981","Vaals","4","10092","39.6","25 maart 2020"
"298","994","Valkenburg aan de Geul","9","16470","54.6","25 maart 2020"
"299","858","Valkenswaard","9","30910","29.1","25 maart 2020"
"300","47","Veendam","1","27491","3.6","25 maart 2020"
"301","345","Veenendaal","7","65589","10.7","25 maart 2020"
"302","717","Veere","6","21835","27.5","25 maart 2020"
"303","861","Veldhoven","18","45337","39.7","25 maart 2020"
"304","453","Velsen","15","68348","21.9","25 maart 2020"
"305","983","Venlo","47","101603","46.3","25 maart 2020"
"306","984","Venray","17","43326","39.2","25 maart 2020"
"307","1961","Vijfheerenlanden","21","55712","37.7","25 maart 2020"
"308","622","Vlaardingen","22","72404","30.4","25 maart 2020"
"309","96","Vlieland","0","1138","0","25 maart 2020"
"310","718","Vlissingen","8","44371","18","25 maart 2020"
"311","986","Voerendaal","6","12452","48.2","25 maart 2020"
"312","626","Voorschoten","5","25479","19.6","25 maart 2020"
"313","285","Voorst","6","24417","24.6","25 maart 2020"
"314","865","Vught","22","26396","83.3","25 maart 2020"
"315","1949","Waadhoeke","0","46039","0","25 maart 2020"
"316","866","Waalre","2","17247","11.6","25 maart 2020"
"317","867","Waalwijk","34","48240","70.5","25 maart 2020"
"318","627","Waddinxveen","5","28316","17.7","25 maart 2020"
"319","289","Wageningen","3","38774","7.7","25 maart 2020"
"320","629","Wassenaar","5","26211","19.1","25 maart 2020"
"321","852","Waterland","11","17315","63.5","25 maart 2020"
"322","988","Weert","24","49842","48.2","25 maart 2020"
"323","457","Weesp","6","19334","31","25 maart 2020"
"324","1960","West Betuwe","19","50697","37.5","25 maart 2020"
"325","668","West Maas en Waal","11","19076","57.7","25 maart 2020"
"326","1969","Westerkwartier","9","63031","14.3","25 maart 2020"
"327","1701","Westerveld","2","19348","10.3","25 maart 2020"
"328","293","Westervoort","2","14944","13.4","25 maart 2020"
"329","1950","Westerwolde","3","25199","11.9","25 maart 2020"
"330","1783","Westland","28","108603","25.8","25 maart 2020"
"331","98","Weststellingwerf","1","25840","3.9","25 maart 2020"
"332","614","Westvoorne","8","14626","54.7","25 maart 2020"
"333","189","Wierden","1","24351","4.1","25 maart 2020"
"334","296","Wijchen","24","40951","58.6","25 maart 2020"
"335","1696","Wijdemeren","3","24013","12.5","25 maart 2020"
"336","352","Wijk bij Duurstede","6","23762","25.3","25 maart 2020"
"337","294","Winterswijk","2","28903","6.9","25 maart 2020"
"338","873","Woensdrecht","5","21866","22.9","25 maart 2020"
"339","632","Woerden","22","52197","42.1","25 maart 2020"
"340","880","Wormerland","3","16329","18.4","25 maart 2020"
"341","351","Woudenberg","6","13166","45.6","25 maart 2020"
"342","479","Zaanstad","29","155885","18.6","25 maart 2020"
"343","297","Zaltbommel","7","28451","24.6","25 maart 2020"
"344","473","Zandvoort","6","17011","35.3","25 maart 2020"
"345","50","Zeewolde","5","22309","22.4","25 maart 2020"
"346","355","Zeist","25","63934","39.1","25 maart 2020"
"347","299","Zevenaar","10","43488","23","25 maart 2020"
"348","637","Zoetermeer","13","124944","10.4","25 maart 2020"
"349","638","Zoeterwoude","1","8450","11.8","25 maart 2020"
"350","1892","Zuidplas","6","42762","14","25 maart 2020"
"351","879","Zundert","14","21612","64.8","25 maart 2020"
"352","301","Zutphen","8","47609","16.8","25 maart 2020"
"353","1896","Zwartewaterland","30","22503","133.3","25 maart 2020"
"354","642","Zwijndrecht","9","44639","20.2","25 maart 2020"
"355","193","Zwolle","47","127497","36.9","25 maart 2020"
